"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.29.155","104.18.99.194","TCP","55","59407  >  443 [ACK] Seq=1 Ack=1 Win=1024 Len=1 [TCP segment of a reassembled PDU]"
"2","0.037307","192.168.29.155","35.244.245.222","TCP","55","59406  >  443 [ACK] Seq=1 Ack=1 Win=1027 Len=1 [TCP segment of a reassembled PDU]"
"3","0.039806","104.18.99.194","192.168.29.155","TCP","66","443  >  59407 [ACK] Seq=1 Ack=2 Win=67 Len=0 SLE=1 SRE=2"
"4","0.048699","35.244.245.222","192.168.29.155","TCP","66","443  >  59406 [ACK] Seq=1 Ack=2 Win=266 Len=0 SLE=1 SRE=2"
"5","0.068311","13.232.7.4","192.168.29.155","TLSv1.2","489","Application Data"
"6","0.109223","192.168.29.155","13.232.7.4","TCP","54","59118  >  443 [ACK] Seq=1 Ack=436 Win=1026 Len=0"
"7","0.151410","192.168.29.155","107.178.254.65","TCP","55","59404  >  443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP segment of a reassembled PDU]"
"8","0.167042","107.178.254.65","192.168.29.155","TCP","66","443  >  59404 [ACK] Seq=1 Ack=2 Win=271 Len=0 SLE=1 SRE=2"
"9","0.311076","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2404:6800:4002:812::200e","UDP","1388","51157  >  443 Len=1326"
"10","0.311105","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2404:6800:4002:812::200e","UDP","252","51157  >  443 Len=190"
"11","0.322524","2404:6800:4002:812::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","90","443  >  51157 Len=28"
"12","0.326106","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2404:6800:4002:812::200e","UDP","95","51157  >  443 Len=33"
"13","0.347497","2404:6800:4002:812::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","87","443  >  51157 Len=25"
"14","0.517356","2404:6800:4002:812::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","142","443  >  51157 Len=80"
"15","0.517913","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2404:6800:4002:812::200e","UDP","98","51157  >  443 Len=36"
"16","0.519667","2404:6800:4002:812::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","438","443  >  51157 Len=376"
"17","0.521048","2404:6800:4002:812::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","96","443  >  51157 Len=34"
"18","0.521048","2404:6800:4002:812::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","188","443  >  51157 Len=126"
"19","0.524394","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2404:6800:4002:812::200e","UDP","95","51157  >  443 Len=33"
"20","0.530186","192.168.29.155","107.178.244.193","TCP","55","59410  >  443 [ACK] Seq=1 Ack=1 Win=1025 Len=1 [TCP segment of a reassembled PDU]"
"21","0.543494","107.178.244.193","192.168.29.155","TCP","66","443  >  59410 [ACK] Seq=1 Ack=2 Win=270 Len=0 SLE=1 SRE=2"
"22","0.554859","2404:6800:4002:812::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","87","443  >  51157 Len=25"
"23","0.645155","13.232.7.4","192.168.29.155","TLSv1.2","101","Application Data"
"24","0.684628","192.168.29.155","13.232.7.4","TCP","54","59118  >  443 [ACK] Seq=1 Ack=483 Win=1026 Len=0"
"25","1.209910","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2404:6800:4002:802::200e","UDP","859","65089  >  443 Len=797"
"26","1.221342","2404:6800:4002:802::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","91","443  >  65089 Len=29"
"27","1.224625","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2404:6800:4002:802::200e","UDP","95","65089  >  443 Len=33"
"28","1.258733","13.232.7.4","192.168.29.155","TLSv1.2","475","Application Data"
"29","1.298497","192.168.29.155","13.232.7.4","TCP","54","59118  >  443 [ACK] Seq=1 Ack=904 Win=1024 Len=0"
"30","1.303002","2404:6800:4002:802::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","135","443  >  65089 Len=73"
"31","1.303220","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2404:6800:4002:802::200e","UDP","98","65089  >  443 Len=36"
"32","1.303597","2404:6800:4002:802::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","88","443  >  65089 Len=26"
"33","1.307450","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2404:6800:4002:802::200e","UDP","95","65089  >  443 Len=33"
"34","1.315678","13.232.7.4","192.168.29.155","TLSv1.2","86","Application Data"
"35","1.316671","2404:6800:4002:802::200e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","88","443  >  65089 Len=26"
"36","1.320831","192.168.29.155","13.33.93.115","TCP","55","59403  >  443 [ACK] Seq=1 Ack=1 Win=1025 Len=1 [TCP segment of a reassembled PDU]"
"37","1.356164","192.168.29.155","13.232.7.4","TCP","54","59118  >  443 [ACK] Seq=1 Ack=936 Win=1024 Len=0"
"38","1.450104","13.33.93.115","192.168.29.155","TCP","66","443  >  59403 [ACK] Seq=1 Ack=2 Win=281 Len=0 SLE=1 SRE=2"
"39","1.465128","54.202.55.213","192.168.29.155","TLSv1.2","85","Application Data"
"40","1.465619","192.168.29.155","54.202.55.213","TLSv1.2","89","Application Data"
"41","1.506091","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2405:200:160f:1726::e","UDP","926","60108  >  443 Len=864"
"42","1.518958","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","91","443  >  60108 Len=29"
"43","1.519378","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","186","443  >  60108 Len=124"
"44","1.519378","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1387","443  >  60108 Len=1325"
"45","1.519378","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"46","1.519378","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"47","1.519378","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"48","1.519378","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"49","1.519543","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"50","1.519543","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"51","1.519543","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"52","1.519543","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"53","1.519543","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"54","1.519543","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"55","1.519543","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"56","1.520026","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2405:200:160f:1726::e","UDP","98","60108  >  443 Len=36"
"57","1.520368","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2405:200:160f:1726::e","UDP","95","60108  >  443 Len=33"
"58","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"59","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"60","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"61","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"62","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"63","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"64","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"65","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"66","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"67","1.521846","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"68","1.522046","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"69","1.522046","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"70","1.522632","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2405:200:160f:1726::e","UDP","95","60108  >  443 Len=33"
"71","1.524340","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"72","1.524340","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"73","1.524340","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"74","1.524340","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"75","1.524340","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"76","1.524340","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"77","1.524340","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"78","1.524340","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"79","1.524940","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2405:200:160f:1726::e","UDP","95","60108  >  443 Len=33"
"80","1.526171","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"81","1.526171","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"82","1.526171","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"83","1.526171","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"84","1.526171","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"85","1.526171","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"86","1.526171","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"87","1.526171","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"88","1.526807","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","2405:200:160f:1726::e","UDP","95","60108  >  443 Len=33"
"89","1.528432","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"90","1.528432","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"91","1.528432","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
"92","1.528432","2405:200:160f:1726::e","2405:201:5c0a:48e6:588f:dfda:d58d:bb8e","UDP","1392","443  >  60108 Len=1330"
